,,,,,,,,,
,,,,,,,,,
Treat,Treatment,Assay,Replicate (cage),,Centroid,Line9-10,Angle7-8-9,Angle3-10-4,Angle2-4-8
mmc_d3,Migration-Cold,Cold,3,Angle3-10-4,"-0.05 (-0.48, 0.43)","-0.06 (-0.38, 0.25)","-0.15 (-0.47, 0.14)","0.00111 (5e-04, 0.00168)","-0.00022 (-4e-04, -4e-05)"
mmc_d3,Migration-Cold,Cold,3,Angle2-4-8,"-0.33 (-0.76, 0.03)","-0.29 (-0.52, -0.04)","-0.1 (-0.34, 0.18)","-0.39 (-0.63, -0.13)","3e-04 (0.00018, 4e-04)"
mmc_d4,Migration-Cold,Cold,4,Centroid,"0.00032 (0.00017, 0.00044)","7e-05 (-0.00011, 0.00029)","-0.00034 (-0.00057, -9e-05)","-0.00023 (-4e-04, -5e-05)","5e-05 (-2e-05, 0.00011)"
mmc_d4,Migration-Cold,Cold,4,Line9-10,"0.11 (-0.19, 0.42)","0.00148 (0.00059, 0.00231)","-0.00052 (-0.00109, 7e-05)","-0.00013 (-0.00058, 0.00031)","-0.00022 (-0.00039, -5e-05)"
mmc_d4,Migration-Cold,Cold,4,Angle7-8-9,"-0.4 (-0.7, -0.14)","-0.29 (-0.59, 0.04)","0.00237 (0.00148, 0.00338)","0.00032 (-0.00017, 0.00077)","-8e-05 (-0.00026, 9e-05)"
mmc_d4,Migration-Cold,Cold,4,Angle3-10-4,"-0.36 (-0.6, -0.09)","-0.1 (-0.42, 0.24)","0.19 (-0.12, 0.43)","0.00138 (0.00078, 0.00191)","-9e-05 (-0.00024, 5e-05)"
mmc_d4,Migration-Cold,Cold,4,Angle2-4-8,"0.19 (-0.08, 0.49)","-0.41 (-0.73, -0.17)","-0.13 (-0.37, 0.15)","-0.16 (-0.43, 0.09)","0.00019 (0.00011, 0.00026)"
mmc_d5,Migration-Cold,Cold,5,Centroid,"0.00018 (0, 3e-04)","0.00016 (-4e-05, 0.00033)","9e-05 (-0.00016, 3e-04)","1e-05 (-0.00013, 0.00014)","-3e-05 (-1e-04, 4e-05)"
mmc_d5,Migration-Cold,Cold,5,Line9-10,"0.31 (-0.09, 0.66)","0.00182 (0.00094, 0.0028)","0.00023 (-0.00039, 0.00087)","-0.00012 (-0.00056, 0.00027)","-0.00015 (-0.00032, 2e-05)"
mmc_d5,Migration-Cold,Cold,5,Angle7-8-9,"0.14 (-0.23, 0.47)","0.11 (-0.18, 0.43)","0.00279 (0.00161, 0.00392)","0.00032 (-0.00024, 0.00074)","-0.00014 (-0.00035, 7e-05)"
mmc_d5,Migration-Cold,Cold,5,Angle3-10-4,"0.04 (-0.31, 0.43)","-0.09 (-0.41, 0.21)","0.18 (-0.07, 0.5)","0.00105 (0.00058, 0.00148)","-6e-05 (-0.00021, 6e-05)"
mmc_d5,Migration-Cold,Cold,5,Angle2-4-8,"-0.15 (-0.56, 0.19)","-0.25 (-0.52, 0.04)","-0.18 (-0.48, 0.06)","-0.12 (-0.41, 0.15)","0.00022 (0.00013, 3e-04)"
mmc_u1,Migration-Cold,Hot,1,Centroid,"0.00018 (0, 3e-04)","-5e-05 (-0.00023, 8e-05)","-8e-05 (-0.00022, 1e-04)","-4e-05 (-0.00021, 0.00011)","4e-05 (-2e-05, 1e-04)"
mmc_u1,Migration-Cold,Hot,1,Line9-10,"-0.19 (-0.7, 0.4)","0.00056 (0, 0.00125)","4e-05 (-3e-04, 0.00034)","0.00025 (-9e-05, 0.00069)","-8e-05 (-0.00022, 4e-05)"
mmc_u1,Migration-Cold,Hot,1,Angle7-8-9,"-0.19 (-0.66, 0.17)","0.08 (-0.44, 0.6)","0.00101 (0.00043, 0.0015)","0.00032 (-3e-05, 0.00064)","-3e-05 (-0.00015, 8e-05)"
mmc_u1,Migration-Cold,Hot,1,Angle3-10-4,"-0.09 (-0.48, 0.29)","0.28 (-0.13, 0.76)","0.29 (-0.02, 0.62)","0.00128 (0.00075, 0.00171)","0 (-0.00011, 0.00013)"
mmc_u1,Migration-Cold,Hot,1,Angle2-4-8,"0.25 (-0.11, 0.65)","-0.27 (-0.78, 0.14)","-0.1 (-0.41, 0.22)","0.01 (-0.23, 0.34)","0.00014 (8e-05, 0.00021)"
mmc_u2,Migration-Cold,Hot,2,Centroid,"0.00018 (0, 0.00031)","-8e-05 (-0.00031, 0.00017)","0.00011 (-7e-05, 0.00029)","-7e-05 (-2e-04, 7e-05)","0 (-6e-05, 7e-05)"
mmc_u2,Migration-Cold,Hot,2,Line9-10,"-0.14 (-0.58, 0.26)","0.00198 (0.00073, 0.00309)","0.00047 (-0.00017, 0.00114)","0.00054 (0.00012, 0.00099)","-0.00035 (-0.00058, -0.00014)"
mmc_u2,Migration-Cold,Hot,2,Angle7-8-9,"0.18 (-0.12, 0.49)","0.21 (-0.06, 0.49)","0.00237 (0.00169, 0.00304)","0.00025 (-7e-05, 0.00065)","-0.00015 (-0.00033, 3e-05)"
mmc_u2,Migration-Cold,Hot,2,Angle3-10-4,"-0.15 (-0.48, 0.15)","0.36 (0.1, 0.62)","0.15 (-0.05, 0.39)","0.00116 (0.00081, 0.0015)","-7e-05 (-2e-04, 5e-05)"
mmc_u2,Migration-Cold,Hot,2,Angle2-4-8,"0.01 (-0.37, 0.37)","-0.56 (-0.8, -0.33)","-0.21 (-0.42, 0.04)","-0.14 (-0.38, 0.1)","2e-04 (0.00012, 0.00029)"
mmc_u3,Migration-Cold,Hot,3,Centroid,"0.00013 (0, 0.00024)","9e-05 (-0.00013, 3e-04)","-3e-05 (-0.00016, 0.00012)","-7e-05 (-0.00021, 9e-05)","1e-05 (-4e-05, 8e-05)"
mmc_u3,Migration-Cold,Hot,3,Line9-10,"0.19 (-0.25, 0.63)","0.00219 (0.00111, 0.00327)","0.00035 (-0.00016, 0.00087)","-2e-05 (-0.00047, 0.00054)","-0.00027 (-0.00051, -7e-05)"
mmc_u3,Migration-Cold,Hot,3,Angle7-8-9,"-0.06 (-0.51, 0.41)","0.25 (-0.16, 0.57)","0.00087 (0.00015, 0.00161)","-0.00016 (-0.00052, 0.00021)","-0.00016 (-0.00031, 0)"
mmc_u3,Migration-Cold,Hot,3,Angle3-10-4,"-0.14 (-0.55, 0.2)","-0.02 (-0.31, 0.26)","-0.16 (-0.56, 0.18)","0.00142 (0.00094, 0.00191)","-9e-05 (-0.00022, 5e-05)"
mmc_u3,Migration-Cold,Hot,3,Angle2-4-8,"0.05 (-0.34, 0.5)","-0.43 (-0.71, -0.17)","-0.42 (-0.8, -0.11)","-0.16 (-0.42, 0.11)","0.00018 (0.00011, 0.00026)"
mmc_u4,Migration-Cold,Hot,4,Centroid,"0.00017 (0, 0.00029)","-3e-05 (-0.00025, 0.00024)","0.00013 (-3e-05, 0.00031)","-5e-05 (-0.00018, 7e-05)","-5e-05 (-1e-04, 1e-05)"
mmc_u4,Migration-Cold,Hot,4,Line9-10,"-0.03 (-0.43, 0.28)","0.0037 (0.00246, 0.00498)","0.00055 (-0.00011, 0.00114)","0.00063 (0.00017, 0.00108)","-0.00016 (-0.00034, 3e-05)"
mmc_u4,Migration-Cold,Hot,4,Angle7-8-9,"0.25 (-0.09, 0.58)","0.21 (-0.02, 0.43)","0.002 (0.00133, 0.0027)","0.00017 (-0.00013, 0.00054)","-0.00034 (-0.00049, -2e-04)"
mmc_u4,Migration-Cold,Hot,4,Angle3-10-4,"-0.15 (-0.51, 0.23)","0.38 (0.09, 0.6)","0.13 (-0.1, 0.41)","0.00079 (0.00046, 0.00116)","-1e-05 (-0.00011, 9e-05)"
mmc_u4,Migration-Cold,Hot,4,Angle2-4-8,"-0.29 (-0.65, 0.05)","-0.19 (-0.39, 0.04)","-0.54 (-0.74, -0.32)","-0.01 (-0.27, 0.24)","0.00021 (0.00015, 0.00027)"
mmc_u5,Migration-Cold,Hot,5,Centroid,"0.00041 (0.00026, 0.00058)","0.00016 (-0.00011, 0.00043)","0.00017 (-5e-05, 0.00037)","-0.00022 (-0.00041, -5e-05)","3e-05 (-3e-05, 0.00011)"
mmc_u5,Migration-Cold,Hot,5,Line9-10,"0.16 (-0.08, 0.45)","0.00286 (0.00155, 0.00404)","1e-04 (-0.00055, 0.00065)","-0.00014 (-0.00053, 0.00031)","-4e-05 (-0.00023, 0.00015)"
mmc_u5,Migration-Cold,Hot,5,Angle7-8-9,"0.19 (-0.01, 0.45)","0.05 (-0.22, 0.29)","0.00189 (0.00123, 0.00252)","-9e-05 (-0.00042, 0.00021)","-4e-05 (-0.00019, 9e-05)"
mmc_u5,Migration-Cold,Hot,5,Angle3-10-4,"-0.45 (-0.72, -0.16)","-0.12 (-0.45, 0.23)","-0.1 (-0.41, 0.19)","0.00061 (0.00019, 0.00101)","-7e-05 (-0.00018, 3e-05)"
mmc_u5,Migration-Cold,Hot,5,Angle2-4-8,"0.12 (-0.16, 0.38)","-0.06 (-0.33, 0.22)","-0.09 (-0.34, 0.17)","-0.22 (-0.53, 0.11)","0.00016 (1e-04, 0.00023)"
mmh_d1,Migration-Hot,Cold,1,Centroid,"0.00016 (0, 3e-04)","8e-05 (-9e-05, 0.00029)","0.00011 (-0.00016, 0.00037)","0 (-0.00017, 0.00017)","-5e-05 (-0.00012, 2e-05)"
mmh_d1,Migration-Hot,Cold,1,Line9-10,"0.24 (-0.26, 0.73)","0.00115 (0.00016, 0.00202)","6e-05 (-0.00053, 0.00067)","0.00032 (-7e-05, 0.00083)","-0.00021 (-0.00039, -1e-05)"
mmh_d1,Migration-Hot,Cold,1,Angle7-8-9,"0.19 (-0.2, 0.6)","0.04 (-0.32, 0.39)","0.00304 (0.00193, 0.00411)","-5e-05 (-6e-04, 0.00048)","-0.00038 (-0.00062, -0.00013)"
mmh_d1,Migration-Hot,Cold,1,Angle3-10-4,"0.02 (-0.4, 0.51)","0.3 (-0.07, 0.71)","-0.04 (-0.4, 0.25)","0.001 (0.00036, 0.00164)","-6e-05 (-0.00021, 0.00013)"
mmh_d1,Migration-Hot,Cold,1,Angle2-4-8,"-0.3 (-0.75, 0.09)","-0.44 (-0.79, -0.09)","-0.46 (-0.69, -0.22)","-0.1 (-0.46, 0.24)","0.00023 (0.00012, 0.00032)"
mmh_d2,Migration-Hot,Cold,2,Centroid,"1e-04 (0, 0.00021)","0.00015 (-2e-05, 0.00032)","0.00014 (-0.00012, 0.00035)","-1e-05 (-0.00017, 0.00014)","2e-05 (-3e-05, 7e-05)"
mmh_d2,Migration-Hot,Cold,2,Line9-10,"0.44 (0.04, 0.85)","0.00117 (0.00044, 0.00189)","0.00016 (-0.00039, 8e-04)","1e-05 (-0.00042, 0.00045)","9e-05 (-7e-05, 0.00024)"
mmh_d2,Migration-Hot,Cold,2,Angle7-8-9,"0.25 (-0.18, 0.7)","0.08 (-0.24, 0.43)","0.00274 (0.00177, 0.00381)","-0.00036 (-0.00088, 0.00013)","-5e-05 (-0.00023, 0.00013)"
mmh_d2,Migration-Hot,Cold,2,Angle3-10-4,"-0.04 (-0.5, 0.4)","0 (-0.33, 0.31)","-0.18 (-0.41, 0.07)","0.00166 (0.00109, 0.00216)","-0.00015 (-0.00029, 0)"
mmh_d2,Migration-Hot,Cold,2,Angle2-4-8,"0.17 (-0.22, 0.63)","0.21 (-0.13, 0.56)","-0.05 (-0.3, 0.18)","-0.25 (-0.47, -0.01)","0.00022 (0.00015, 0.00028)"
mmh_d3,Migration-Hot,Cold,3,Centroid,"0.00032 (0.00018, 0.00045)","6e-05 (-0.00017, 0.00029)","-0.00014 (-0.00038, 0.00012)","-0.00037 (-0.00055, -2e-04)","6e-05 (-1e-05, 0.00013)"
mmh_d3,Migration-Hot,Cold,3,Line9-10,"0.07 (-0.19, 0.32)","0.00265 (0.00177, 0.00354)","0.00041 (-0.00024, 0.00113)","0.00039 (-0.00012, 0.00084)","-0.00022 (-0.00038, -4e-05)"
mmh_d3,Migration-Hot,Cold,3,Angle7-8-9,"-0.16 (-0.48, 0.09)","0.16 (-0.11, 0.41)","0.00268 (0.00144, 0.00376)","0.00019 (-0.00027, 0.00078)","-1e-05 (-0.00021, 0.00017)"
mmh_d3,Migration-Hot,Cold,3,Angle3-10-4,"-0.53 (-0.75, -0.32)","0.19 (-0.05, 0.4)","0.1 (-0.15, 0.38)","0.00156 (0.00108, 0.0021)","-0.00029 (-0.00044, -0.00016)"
mmh_d3,Migration-Hot,Cold,3,Angle2-4-8,"0.23 (-0.01, 0.46)","-0.28 (-0.48, -0.08)","-0.02 (-0.25, 0.22)","-0.48 (-0.65, -0.29)","0.00024 (0.00016, 3e-04)"
mmh_d4,Migration-Hot,Cold,4,Centroid,"0.00024 (9e-05, 0.00039)","-0.00018 (-0.00042, 4e-05)","-4e-05 (-0.00026, 0.00021)","-0.00018 (-0.00036, 1e-05)","5e-05 (-2e-05, 0.00014)"
mmh_d4,Migration-Hot,Cold,4,Line9-10,"-0.25 (-0.58, 0.06)","0.00249 (0.00156, 0.00352)","0.00051 (-0.00012, 0.00106)","2e-04 (-0.00031, 0.00067)","-0.00022 (-0.00042, -2e-05)"
mmh_d4,Migration-Hot,Cold,4,Angle7-8-9,"-0.06 (-0.36, 0.26)","0.21 (-0.04, 0.45)","0.00252 (0.00176, 0.00334)","0.00018 (-0.00024, 7e-04)","-0.00027 (-0.00046, -7e-05)"
mmh_d4,Migration-Hot,Cold,4,Angle3-10-4,"-0.35 (-0.74, -0.04)","0.12 (-0.17, 0.41)","0.1 (-0.18, 0.36)","0.00119 (0.00058, 0.00182)","-9e-05 (-0.00025, 6e-05)"
mmh_d4,Migration-Hot,Cold,4,Angle2-4-8,"0.2 (-0.11, 0.5)","-0.28 (-0.51, -0.04)","-0.33 (-0.57, -0.12)","-0.17 (-0.46, 0.12)","0.00026 (0.00016, 0.00035)"
mmh_d5,Migration-Hot,Cold,5,Centroid,"0.00014 (0, 0.00025)","-1e-05 (-0.00019, 0.00016)","0.00016 (-5e-05, 0.00035)","-0.00016 (-0.00031, 2e-05)","3e-05 (-3e-05, 1e-04)"
mmh_d5,Migration-Hot,Cold,5,Line9-10,"-0.02 (-0.46, 0.41)","0.00132 (0.00053, 0.00204)","0.00014 (-0.00038, 6e-04)","0.00023 (-0.00014, 0.00065)","-3e-05 (-0.00017, 0.00016)"
mmh_d5,Migration-Hot,Cold,5,Angle7-8-9,"0.35 (-0.02, 0.83)","0.09 (-0.25, 0.47)","0.00147 (0.00054, 0.00223)","1e-05 (-0.00046, 0.00043)","-4e-05 (-0.00024, 0.00013)"
mmh_d5,Migration-Hot,Cold,5,Angle3-10-4,"-0.41 (-0.8, -0.05)","0.19 (-0.17, 0.5)","0.01 (-0.37, 0.34)","0.00112 (0.00059, 0.0016)","-0.00022 (-0.00036, -8e-05)"
mmh_d5,Migration-Hot,Cold,5,Angle2-4-8,"0.19 (-0.19, 0.61)","-0.04 (-0.34, 0.28)","-0.06 (-0.41, 0.25)","-0.46 (-0.71, -0.2)","0.00021 (0.00014, 0.00031)"
mmh_u1,Migration-Hot,Hot,1,Centroid,"0.00013 (0, 0.00025)","4e-05 (-0.00015, 0.00025)","-7e-05 (-0.00026, 1e-04)","-3e-05 (-0.00017, 0.00012)","2e-05 (-4e-05, 8e-05)"
mmh_u1,Migration-Hot,Hot,1,Line9-10,"0.09 (-0.36, 0.54)","0.0022 (0.00093, 0.00323)","-0.00054 (-0.00116, 4e-05)","0.00069 (0.00016, 0.00115)","-0.00016 (-0.00037, 2e-05)"
mmh_u1,Migration-Hot,Hot,1,Angle7-8-9,"-0.16 (-0.56, 0.27)","-0.27 (-0.56, 0.02)","0.00207 (0.00144, 0.00276)","2e-05 (-0.00036, 0.00038)","-0.00015 (-3e-04, 0)"
mmh_u1,Migration-Hot,Hot,1,Angle3-10-4,"-0.05 (-0.45, 0.42)","0.41 (0.16, 0.68)","0.01 (-0.22, 0.22)","0.00135 (0.00089, 0.00176)","-0.00026 (-0.00038, -0.00011)"
mmh_u1,Migration-Hot,Hot,1,Angle2-4-8,"0.14 (-0.3, 0.55)","-0.24 (-0.56, -0.01)","-0.22 (-0.45, -0.04)","-0.49 (-0.72, -0.29)","0.00021 (0.00014, 0.00028)"
mmh_u2,Migration-Hot,Hot,2,Centroid,"0.00022 (1e-04, 0.00036)","-5e-05 (-0.00033, 0.00018)","0.00013 (-5e-05, 0.00034)","-1e-05 (-0.00016, 0.00014)","2e-05 (-4e-05, 8e-05)"
mmh_u2,Migration-Hot,Hot,2,Line9-10,"-0.04 (-0.31, 0.27)","0.00387 (0.0025, 0.00512)","0.00104 (0.00045, 0.00176)","0.00042 (-0.00013, 0.00097)","-0.00025 (-0.00046, -3e-05)"
mmh_u2,Migration-Hot,Hot,2,Angle7-8-9,"0.17 (-0.07, 0.41)","0.3 (0.13, 0.49)","0.0031 (0.00244, 0.00373)","9e-05 (-0.00031, 0.00048)","-0.00021 (-0.00036, -5e-05)"
mmh_u2,Migration-Hot,Hot,2,Angle3-10-4,"0 (-0.33, 0.34)","0.21 (-0.06, 0.47)","0.06 (-0.17, 0.28)","0.00099 (5e-04, 0.00148)","-1e-04 (-0.00023, 2e-05)"
mmh_u2,Migration-Hot,Hot,2,Angle2-4-8,"0.11 (-0.2, 0.45)","-0.3 (-0.56, -0.09)","-0.29 (-0.49, -0.06)","-0.23 (-0.51, 0.03)","0.00017 (1e-04, 0.00024)"
mmh_u3,Migration-Hot,Hot,3,Centroid,"4e-05 (0, 0.00011)","6e-05 (-0.00013, 0.00027)","-1e-05 (-1e-04, 7e-05)","0 (-0.00011, 0.00011)","-1e-05 (-5e-05, 3e-05)"
mmh_u3,Migration-Hot,Hot,3,Line9-10,"0.15 (-0.41, 0.74)","0.00414 (0.00261, 0.00581)","-0.00028 (-0.00088, 0.00028)","0.00081 (0.00018, 0.00132)","-0.00034 (-0.00058, -0.00011)"
mmh_u3,Migration-Hot,Hot,3,Angle7-8-9,"-0.06 (-0.62, 0.58)","-0.2 (-0.61, 0.25)","0.00059 (0, 0.00113)","-0.00028 (-0.00061, 6e-05)","-3e-05 (-0.00017, 8e-05)"
mmh_u3,Migration-Hot,Hot,3,Angle3-10-4,"0.04 (-0.54, 0.61)","0.35 (0.09, 0.58)","-0.35 (-0.79, 0.03)","0.00138 (0.00092, 0.00187)","-0.00012 (-0.00024, 1e-05)"
mmh_u3,Migration-Hot,Hot,3,Angle2-4-8,"-0.14 (-0.75, 0.38)","-0.41 (-0.66, -0.15)","-0.09 (-0.51, 0.37)","-0.24 (-0.46, 0.03)","0.00017 (1e-04, 0.00024)"
mmh_u4,Migration-Hot,Hot,4,Centroid,"0.00037 (0.00022, 0.00052)","-1e-05 (-0.00028, 0.00029)","-0.00011 (-0.00033, 1e-04)","-0.00033 (-0.00054, -0.00012)","6e-05 (-2e-05, 0.00013)"
mmh_u4,Migration-Hot,Hot,4,Line9-10,"0 (-0.35, 0.32)","0.0023 (0.00081, 0.00383)","0.00031 (-0.00027, 0.00102)","0.00039 (-0.00024, 0.00104)","-0.00014 (-0.00036, 0.00013)"
mmh_u4,Migration-Hot,Hot,4,Angle7-8-9,"-0.13 (-0.37, 0.1)","0.14 (-0.13, 0.49)","0.00228 (0.00158, 0.00307)","0.00065 (2e-04, 0.00111)","-0.00024 (-0.00043, -8e-05)"
mmh_u4,Migration-Hot,Hot,4,Angle3-10-4,"-0.47 (-0.72, -0.23)","0.2 (-0.14, 0.57)","0.38 (0.11, 0.65)","0.00137 (0.00076, 0.00212)","-0.00026 (-0.00045, -7e-05)"
mmh_u4,Migration-Hot,Hot,4,Angle2-4-8,"0.2 (-0.06, 0.46)","-0.19 (-0.54, 0.13)","-0.36 (-0.61, -0.12)","-0.48 (-0.7, -0.24)","0.00021 (0.00012, 3e-04)"
mmh_u5,Migration-Hot,Hot,5,Centroid,"0.00015 (0, 0.00027)","0.00016 (-6e-05, 0.00039)","-7e-05 (-0.00026, 9e-05)","-7e-05 (-0.00027, 0.00011)","-1e-05 (-7e-05, 5e-05)"
mmh_u5,Migration-Hot,Hot,5,Line9-10,"0.31 (-0.12, 0.75)","0.00184 (0.00035, 0.00318)","-0.00038 (-9e-04, 0.00023)","0.00051 (-9e-05, 0.00111)","-1e-04 (-0.00029, 1e-04)"
mmh_u5,Migration-Hot,Hot,5,Angle7-8-9,"-0.17 (-0.58, 0.23)","-0.26 (-0.66, 0.11)","0.00144 (8e-04, 0.00216)","-0.00016 (-0.00061, 0.00027)","-0.00012 (-0.00028, 2e-05)"
mmh_u5,Migration-Hot,Hot,5,Angle3-10-4,"-0.11 (-0.51, 0.27)","0.29 (-0.04, 0.59)","-0.1 (-0.42, 0.16)","0.00176 (0.00108, 0.00235)","-0.00017 (-3e-04, 0)"
mmh_u5,Migration-Hot,Hot,5,Angle2-4-8,"-0.07 (-0.45, 0.28)","-0.15 (-0.46, 0.15)","-0.2 (-0.47, 0.03)","-0.27 (-0.48, -0.04)","0.00023 (0.00016, 3e-04)"
ms_d1,Spatial,Cold,1,Centroid,"0.00022 (5e-05, 0.00038)","9e-05 (-0.00016, 0.00031)","0.00011 (-0.00011, 0.00031)","-0.00012 (-3e-04, 4e-05)","2e-05 (-4e-05, 8e-05)"
ms_d1,Spatial,Cold,1,Line9-10,"0.14 (-0.22, 0.54)","0.00204 (0.00098, 0.0031)","-1e-04 (-7e-04, 5e-04)","2e-05 (-5e-04, 0.00043)","8e-05 (-0.00011, 3e-04)"
ms_d1,Spatial,Cold,1,Angle7-8-9,"0.16 (-0.17, 0.47)","-0.05 (-0.33, 0.25)","0.00228 (0.0014, 0.003)","-0.00028 (-0.00069, 0.00015)","-2e-05 (-0.00018, 0.00017)"
ms_d1,Spatial,Cold,1,Angle3-10-4,"-0.26 (-0.61, 0.09)","-0.01 (-0.35, 0.32)","-0.19 (-0.45, 0.11)","0.00097 (0.00056, 0.00152)","-0.00011 (-0.00024, 3e-05)"
ms_d1,Spatial,Cold,1,Angle2-4-8,"0.12 (-0.22, 0.42)","0.16 (-0.23, 0.49)","-0.03 (-0.26, 0.26)","-0.25 (-0.52, 0.03)","2e-04 (0.00012, 0.00029)"
ms_d2,Spatial,Cold,2,Centroid,"9e-05 (0, 0.00021)","-1e-05 (-0.00018, 0.00016)","-1e-05 (-0.00016, 0.00015)","-6e-05 (-0.00023, 8e-05)","-2e-05 (-8e-05, 5e-05)"
ms_d2,Spatial,Cold,2,Line9-10,"-0.02 (-0.57, 0.62)","0.00127 (0.00053, 0.00205)","0.00069 (2e-04, 0.00122)","0.00011 (-0.00031, 0.00048)","-0.00026 (-0.00045, -8e-05)"
ms_d2,Spatial,Cold,2,Angle7-8-9,"-0.02 (-0.66, 0.48)","0.53 (0.23, 0.81)","0.0014 (0.00069, 0.00224)","0.00024 (-0.00017, 0.00068)","-0.00029 (-0.00047, -1e-04)"
ms_d2,Spatial,Cold,2,Angle3-10-4,"-0.16 (-0.71, 0.36)","0.1 (-0.26, 0.42)","0.19 (-0.14, 0.53)","0.00121 (0.00062, 0.00181)","-0.00032 (-5e-04, -0.00014)"
ms_d2,Spatial,Cold,2,Angle2-4-8,"-0.08 (-0.65, 0.37)","-0.39 (-0.62, -0.12)","-0.4 (-0.65, -0.17)","-0.48 (-0.67, -0.28)","0.00037 (3e-04, 0.00047)"
ms_d3,Spatial,Cold,3,Centroid,"4e-05 (0, 9e-05)","8e-05 (-5e-05, 0.00025)","-2e-05 (-0.00015, 9e-05)","-4e-05 (-0.00018, 8e-05)","0 (-5e-05, 4e-05)"
ms_d3,Spatial,Cold,3,Line9-10,"0.27 (-0.19, 0.8)","0.00249 (0.0019, 0.00312)","0.00017 (-0.00038, 0.00063)","0.00034 (-8e-05, 0.00077)","-0.00026 (-4e-04, -0.00011)"
ms_d3,Spatial,Cold,3,Angle7-8-9,"-0.08 (-0.63, 0.34)","0.07 (-0.18, 0.26)","0.00217 (0.00127, 0.00299)","0.00048 (2e-05, 0.00094)","-4e-05 (-0.00019, 0.00016)"
ms_d3,Spatial,Cold,3,Angle3-10-4,"-0.14 (-0.73, 0.35)","0.15 (-0.03, 0.36)","0.24 (-0.02, 0.46)","0.00193 (0.00137, 0.00253)","-0.00036 (-0.00051, -0.00021)"
ms_d3,Spatial,Cold,3,Angle2-4-8,"-0.04 (-0.5, 0.48)","-0.28 (-0.43, -0.12)","-0.04 (-0.24, 0.18)","-0.44 (-0.6, -0.28)","0.00034 (0.00026, 0.00042)"
ms_d4,Spatial,Cold,4,Centroid,"0.00027 (0.00014, 4e-04)","-6e-05 (-0.00026, 0.00013)","0.00022 (-1e-05, 0.00045)","-2e-05 (-0.00017, 0.00013)","-7e-05 (-0.00012, 0)"
ms_d4,Spatial,Cold,4,Line9-10,"-0.08 (-0.33, 0.15)","0.00262 (0.00186, 0.00345)","0.00012 (-0.00045, 8e-04)","0.00025 (-0.00015, 0.00069)","-0.00012 (-0.00027, 5e-05)"
ms_d4,Spatial,Cold,4,Angle7-8-9,"0.23 (-0.01, 0.47)","0.04 (-0.17, 0.25)","0.00353 (0.00247, 0.00465)","0 (-0.00045, 0.00049)","-0.00019 (-0.00038, 0)"
ms_d4,Spatial,Cold,4,Angle3-10-4,"-0.03 (-0.3, 0.23)","0.14 (-0.1, 0.38)","0 (-0.23, 0.25)","0.00122 (0.00076, 0.00176)","-3e-05 (-0.00015, 9e-05)"
ms_d4,Spatial,Cold,4,Angle2-4-8,"-0.34 (-0.61, -0.02)","-0.18 (-0.41, 0.04)","-0.25 (-0.49, -0.02)","-0.05 (-0.31, 0.21)","0.00017 (1e-04, 0.00023)"
ms_d5,Spatial,Cold,5,Centroid,"0.00032 (0.00016, 5e-04)","9e-05 (-0.00014, 0.00034)","9e-05 (-0.00021, 0.00034)","-3e-04 (-0.00049, -9e-05)","-4e-05 (-0.00012, 3e-05)"
ms_d5,Spatial,Cold,5,Line9-10,"0.14 (-0.28, 0.54)","0.00121 (9e-05, 0.00216)","-3e-05 (-0.00058, 0.00069)","0.00013 (-0.00029, 0.00059)","-0.00011 (-0.00028, 5e-05)"
ms_d5,Spatial,Cold,5,Angle7-8-9,"0.08 (-0.17, 0.37)","0 (-0.34, 0.37)","0.00299 (0.00204, 0.00401)","-0.00054 (-0.00107, -1e-04)","1e-05 (-0.00019, 2e-04)"
ms_d5,Spatial,Cold,5,Angle3-10-4,"-0.47 (-0.75, -0.24)","0.1 (-0.29, 0.48)","-0.27 (-0.49, -0.04)","0.0013 (0.00083, 0.00179)","-0.00012 (-0.00027, 3e-05)"
ms_d5,Spatial,Cold,5,Angle2-4-8,"-0.15 (-0.46, 0.12)","-0.21 (-0.55, 0.1)","0.01 (-0.25, 0.22)","-0.2 (-0.43, 0.07)","0.00024 (0.00017, 0.00031)"
ms_u1,Spatial,Hot,1,Centroid,"0.00018 (7e-05, 0.00029)","0.00017 (-3e-05, 0.00036)","6e-05 (-0.00012, 0.00024)","-0.00013 (-0.00028, 1e-05)","-6e-05 (-0.00011, -2e-05)"
ms_u1,Spatial,Hot,1,Line9-10,"0.33 (-0.04, 0.7)","0.0018 (0.00052, 0.00298)","0.00022 (-0.00045, 0.00083)","-0.00022 (-0.00072, 0.00022)","-0.00022 (-0.00039, -6e-05)"
ms_u1,Spatial,Hot,1,Angle7-8-9,"0.1 (-0.19, 0.37)","0.11 (-0.21, 0.4)","0.00249 (0.0018, 0.00316)","-0.00028 (-0.00069, 0.00013)","-0.00017 (-3e-04, -3e-05)"
ms_u1,Spatial,Hot,1,Angle3-10-4,"-0.3 (-0.59, 0.02)","-0.19 (-0.56, 0.21)","-0.17 (-0.41, 0.1)","0.00108 (0.00056, 0.00164)","3e-05 (-8e-05, 0.00013)"
ms_u1,Spatial,Hot,1,Angle2-4-8,"-0.43 (-0.76, -0.15)","-0.47 (-0.77, -0.18)","-0.3 (-0.54, -0.08)","0.09 (-0.21, 0.39)","0.00013 (7e-05, 0.00018)"
