,,,,,,,,,
,,,,,,,,,
Treat,Treatment,Assay,Replicate (cage),,Centroid,Line9-10,Angle7-8-9,Angle3-10-4,Angle2-4-8
mc_u1,Cold,Hot,1,Angle7-8-9,"-0.19 (-0.52, 0.15)","0.15 (-0.22, 0.6)","0.00226 (0.00137, 0.00315)","2e-05 (-0.00045, 0.00042)","-0.00025 (-0.00042, -7e-05)"
mc_u1,Cold,Hot,1,Angle3-10-4,"-0.14 (-0.5, 0.26)","-0.07 (-0.52, 0.35)","0.03 (-0.31, 0.34)","0.00085 (0.00039, 0.00132)","-8e-05 (-0.00021, 4e-05)"
mc_u1,Cold,Hot,1,Angle2-4-8,"0.1 (-0.17, 0.4)","0.08 (-0.23, 0.48)","-0.32 (-0.52, -0.1)","-0.17 (-0.46, 0.06)","0.00027 (0.00021, 0.00035)"
mc_u2,Cold,Hot,2,Centroid,"0.00016 (0, 0.00028)","-0.00014 (-0.00037, 7e-05)","0.00011 (-9e-05, 0.00033)","-0.00019 (-0.00036, 1e-05)","3e-05 (-3e-05, 8e-05)"
mc_u2,Cold,Hot,2,Line9-10,"-0.25 (-0.61, 0.16)","0.00253 (0.00153, 0.00359)","0.00044 (-2e-04, 0.00099)","0.00054 (0.00011, 0.00099)","4e-05 (-0.00014, 0.00021)"
mc_u2,Cold,Hot,2,Angle7-8-9,"0.18 (-0.22, 0.52)","0.18 (-0.09, 0.41)","0.00244 (0.00171, 0.00321)","0.00013 (-0.00028, 0.00057)","1e-05 (-0.00014, 0.00018)"
mc_u2,Cold,Hot,2,Angle3-10-4,"-0.44 (-0.8, -0.12)","0.32 (0.06, 0.59)","0.08 (-0.16, 0.34)","0.0012 (0.00074, 0.00164)","-0.00011 (-0.00023, 2e-05)"
mc_u2,Cold,Hot,2,Angle2-4-8,"0.18 (-0.22, 0.59)","0.06 (-0.24, 0.38)","0.02 (-0.24, 0.3)","-0.27 (-0.52, 0.04)","0.00015 (8e-05, 0.00022)"
mc_u3,Cold,Hot,3,Centroid,"0.00015 (0, 0.00028)","7e-05 (-0.00014, 0.00033)","-3e-05 (-0.00019, 0.00014)","-0.00013 (-0.00032, 5e-05)","1e-05 (-4e-05, 6e-05)"
mc_u3,Cold,Hot,3,Line9-10,"0.12 (-0.31, 0.56)","0.0023 (0.00086, 0.0036)","0.00011 (-0.00045, 0.00069)","-1e-05 (-0.00057, 0.00054)","5e-05 (-0.00016, 0.00022)"
mc_u3,Cold,Hot,3,Angle7-8-9,"-0.08 (-0.49, 0.4)","0.07 (-0.26, 0.44)","0.00123 (0.00054, 0.0019)","0.00016 (-0.00022, 0.00059)","3e-05 (-0.00012, 0.00014)"
mc_u3,Cold,Hot,3,Angle3-10-4,"-0.3 (-0.71, 0.07)","-0.03 (-0.37, 0.35)","0.14 (-0.23, 0.44)","0.00122 (7e-04, 0.00179)","-0.00013 (-0.00025, -1e-05)"
mc_u3,Cold,Hot,3,Angle2-4-8,"0.03 (-0.4, 0.43)","0.09 (-0.23, 0.45)","0.07 (-0.24, 0.37)","-0.31 (-0.58, -0.03)","0.00015 (9e-05, 0.00022)"
mc_u4,Cold,Hot,4,Centroid,"0.00033 (0.00013, 0.00057)","-0.00011 (-0.00045, 0.00019)","2e-05 (-0.00023, 3e-04)","-2e-04 (-0.00039, -3e-05)","-1e-05 (-8e-05, 7e-05)"
mc_u4,Cold,Hot,4,Line9-10,"-0.13 (-0.5, 0.27)","0.0022 (0.00088, 0.00363)","-0.00011 (-8e-04, 0.00055)","0.00027 (-0.00021, 8e-04)","1e-05 (-0.00017, 2e-04)"
mc_u4,Cold,Hot,4,Angle7-8-9,"0.02 (-0.31, 0.38)","-0.07 (-0.43, 0.27)","0.00191 (0.00108, 0.0027)","-0.00035 (-7e-04, 7e-05)","-0.00014 (-0.00031, 2e-05)"
mc_u4,Cold,Hot,4,Angle3-10-4,"-0.35 (-0.66, -0.07)","0.17 (-0.16, 0.49)","-0.25 (-0.5, 0.05)","0.00102 (0.00062, 0.00143)","5e-05 (-5e-05, 0.00017)"
mc_u4,Cold,Hot,4,Angle2-4-8,"-0.06 (-0.45, 0.36)","0.03 (-0.36, 0.4)","-0.29 (-0.61, 0.04)","0.16 (-0.19, 0.46)","0.00012 (5e-05, 2e-04)"
mc_u5,Cold,Hot,5,Centroid,"0.00017 (0, 3e-04)","0.00014 (-1e-04, 0.00045)","-5e-05 (-0.00026, 0.00016)","-0.00014 (-0.00031, 2e-05)","-5e-05 (-1e-04, 1e-05)"
mc_u5,Cold,Hot,5,Line9-10,"0.2 (-0.21, 0.57)","0.00336 (0.00198, 0.00467)","-0.00031 (-0.00093, 0.00039)","0.00023 (-0.00031, 0.00078)","0 (-2e-04, 0.00018)"
mc_u5,Cold,Hot,5,Angle7-8-9,"-0.09 (-0.5, 0.26)","-0.12 (-0.36, 0.15)","0.00215 (0.00144, 0.00293)","0.00028 (-0.00012, 0.00066)","-2e-04 (-0.00034, -6e-05)"
mc_u5,Cold,Hot,5,Angle3-10-4,"-0.36 (-0.75, 0.03)","0.12 (-0.2, 0.39)","0.2 (-0.06, 0.5)","0.00099 (0.00046, 0.00147)","9e-05 (-2e-05, 2e-04)"
mc_u5,Cold,Hot,5,Angle2-4-8,"-0.34 (-0.69, 0.04)","0.01 (-0.27, 0.29)","-0.37 (-0.62, -0.11)","0.27 (-0.06, 0.59)","0.00014 (8e-05, 2e-04)"
mh_d1,Hot,Cold,1,Centroid,"0.00018 (7e-05, 0.00027)","2e-04 (3e-05, 0.00038)","5e-05 (-0.00012, 0.00024)","-0.00014 (-0.00031, 0)","-2e-05 (-7e-05, 4e-05)"
mh_d1,Hot,Cold,1,Line9-10,"0.35 (0.06, 0.67)","0.002 (0.00111, 0.0029)","0.00061 (3e-05, 0.00115)","-2e-05 (-0.00054, 0.00036)","-0.00016 (-0.00035, 1e-05)"
mh_d1,Hot,Cold,1,Angle7-8-9,"0.08 (-0.23, 0.45)","0.34 (0.02, 0.62)","0.00177 (0.00078, 0.00275)","-4e-05 (-5e-04, 0.00045)","-0.00015 (-0.00035, 4e-05)"
mh_d1,Hot,Cold,1,Angle3-10-4,"-0.33 (-0.67, -0.02)","-0.02 (-0.32, 0.34)","-0.02 (-0.38, 0.34)","0.00102 (0.00042, 0.00154)","-9e-05 (-0.00025, 5e-05)"
mh_d1,Hot,Cold,1,Angle2-4-8,"-0.08 (-0.35, 0.2)","-0.23 (-0.45, 0.02)","-0.23 (-0.53, 0.04)","-0.18 (-0.46, 0.09)","0.00027 (0.00019, 0.00034)"
mh_d2,Hot,Cold,2,Centroid,"7e-05 (0, 0.00017)","5e-05 (-0.00012, 0.00028)","2e-05 (-0.00014, 0.00024)","7e-05 (-7e-05, 0.00024)","-2e-05 (-7e-05, 3e-05)"
mh_d2,Hot,Cold,2,Line9-10,"0.11 (-0.4, 0.6)","0.00288 (0.00177, 0.00417)","0.00055 (-0.00018, 0.00127)","0.00041 (-1e-04, 0.00101)","-0.00018 (-0.00039, 3e-05)"
mh_d2,Hot,Cold,2,Angle7-8-9,"0.05 (-0.44, 0.49)","0.21 (-0.06, 0.5)","0.00284 (0.00175, 0.0038)","0.00028 (-0.00029, 0.00081)","-3e-05 (-0.00022, 0.00014)"
mh_d2,Hot,Cold,2,Angle3-10-4,"0.21 (-0.27, 0.73)","0.18 (-0.05, 0.42)","0.13 (-0.11, 0.39)","0.00182 (0.0012, 0.0024)","-0.00018 (-0.00033, -2e-05)"
mh_d2,Hot,Cold,2,Angle2-4-8,"-0.16 (-0.68, 0.31)","-0.25 (-0.52, 0.03)","-0.04 (-0.31, 0.22)","-0.31 (-0.57, -0.08)","0.00018 (1e-04, 0.00026)"
mh_d3,Hot,Cold,3,Centroid,"0.00022 (4e-05, 0.00036)","-0.00016 (-4e-04, 6e-05)","-1e-05 (-0.00023, 0.00021)","-1e-04 (-0.00029, 6e-05)","-3e-05 (-9e-05, 4e-05)"
mh_d3,Hot,Cold,3,Line9-10,"-0.27 (-0.64, 0.1)","0.00163 (0.00067, 0.00255)","0.00029 (-0.00028, 0.00086)","0.00019 (-0.00024, 7e-04)","-0.00013 (-0.00028, 4e-05)"
mh_d3,Hot,Cold,3,Angle7-8-9,"-0.02 (-0.32, 0.27)","0.14 (-0.11, 0.44)","0.00294 (0.00208, 0.00377)","-6e-05 (-0.00052, 0.00036)","-1e-04 (-0.00025, 8e-05)"
mh_d3,Hot,Cold,3,Angle3-10-4,"-0.18 (-0.52, 0.13)","0.13 (-0.17, 0.44)","-0.03 (-0.29, 0.18)","0.00133 (8e-04, 0.00191)","-3e-05 (-0.00016, 9e-05)"
mh_d3,Hot,Cold,3,Angle2-4-8,"-0.16 (-0.53, 0.23)","-0.25 (-0.56, 0.02)","-0.14 (-0.36, 0.09)","-0.05 (-0.31, 0.19)","0.00018 (0.00012, 0.00025)"
mh_d4,Hot,Cold,4,Centroid,"9e-05 (0, 2e-04)","2e-05 (-0.00015, 2e-04)","7e-05 (-0.00011, 0.00026)","-5e-05 (-0.00021, 8e-05)","-1e-05 (-7e-05, 5e-05)"
mh_d4,Hot,Cold,4,Line9-10,"0.07 (-0.41, 0.58)","0.00219 (0.00135, 0.00302)","0.00032 (-0.00019, 0.00088)","3e-05 (-0.00039, 0.00049)","-0.00036 (-0.00052, -0.00018)"
mh_d4,Hot,Cold,4,Angle7-8-9,"0.16 (-0.26, 0.61)","0.14 (-0.11, 0.37)","0.00241 (0.00159, 0.00316)","-1e-04 (-0.00059, 0.00033)","-0.00012 (-0.00031, 5e-05)"
mh_d4,Hot,Cold,4,Angle3-10-4,"-0.12 (-0.61, 0.28)","0.01 (-0.2, 0.27)","-0.06 (-0.32, 0.15)","0.0017 (0.00114, 0.00214)","-0.00015 (-3e-04, -1e-05)"
mh_d4,Hot,Cold,4,Angle2-4-8,"-0.09 (-0.58, 0.37)","-0.46 (-0.66, -0.26)","-0.15 (-0.36, 0.06)","-0.21 (-0.44, -0.04)","0.00028 (2e-04, 0.00036)"
mh_d5,Hot,Cold,5,Centroid,"0.00028 (0.00013, 0.00042)","0.00035 (0.00014, 0.00057)","0.00018 (-6e-05, 0.00041)","-3e-04 (-0.00048, -0.00016)","-1e-05 (-7e-05, 6e-05)"
mh_d5,Hot,Cold,5,Line9-10,"0.45 (0.21, 0.7)","0.0024 (0.00158, 0.00322)","0.00021 (-0.00032, 0.00078)","-0.00054 (-0.00089, -0.00016)","3e-05 (-0.00013, 2e-04)"
mh_d5,Hot,Cold,5,Angle7-8-9,"0.24 (-0.05, 0.52)","0.09 (-0.15, 0.37)","0.00208 (0.00112, 0.00293)","-1e-04 (-0.00048, 0.00029)","-8e-05 (-0.00024, 0.00011)"
mh_d5,Hot,Cold,5,Angle3-10-4,"-0.62 (-0.88, -0.38)","-0.38 (-0.66, -0.13)","-0.07 (-0.35, 0.22)","0.00091 (5e-04, 0.00127)","-4e-05 (-0.00015, 9e-05)"
